Movie,Total Gross,Genre,Rating
Shutter,25928550,Horror, PG-13
Slumdog Millionaire,28676598,Drama, R
Smart People,9511289,Romantic Comedy, R
Soul Men,12024598,Comedy, R
Space Chimps,30105968,Adventure, G
Space Station,10904400,Documentary, Not Rated
Speed Racer,43945766,Action, PG
Star Wars: The Clone Wars,35161554,Adventure, PG
Step Brothers,100468793,Comedy, R
Step Up 2 the Streets,58017783,Drama, PG-13
Stop-Loss,10915744,Drama, R
Strange Wilderness,6575282,Comedy, R
Street Kings,26418667,Thriller/Suspense, R
Superhero Movie,25874034,Comedy, PG-13
Sweeney Todd: The Demon Barber of Fleet Street,22288215,Musical, R
Swing Vote,16289867,Comedy, PG-13
Tell No One,6137968,Thriller/Suspense, Not Rated
The Band's Visit,3053823,Comedy, PG-13
The Bank Job,30060660,Thriller/Suspense, R
The Boy in the Striped Pyjamas,8854137,Drama, PG-13
The Bucket List,92588080,Comedy, PG-13
The Chronicles of Narnia: Prince Caspian,141621490,Adventure, PG
The Counterfeiters,5488570,Drama, R
The Curious Case of Benjamin Button,79297086,Drama, PG-13
The Dark Knight,531001578,Action, PG-13
The Day the Earth Stood Still,74424256,Adventure, PG-13
The Diving Bell and the Butterfly,5107379,Drama, PG-13
The Duchess,13848978,Drama, PG-13
The Express,9793406,Drama, PG
The Eye,31418697,Thriller/Suspense, PG-13
The Family That Preys,37105289,Comedy, PG-13
The Forbidden Kingdom,52075270,Action, PG-13
The Great Debaters,13791114,Drama, PG-13
The Happening,64506874,Thriller/Suspense, R
The Haunting of Molly Hartley,13442412,Thriller/Suspense, PG-13
The House Bunny,48237389,Comedy, PG-13
The Incredible Hulk,134806913,Adventure, PG-13
The Kite Runner,9372753,Drama, PG-13
The Longshots,11511323,Drama, PG
The Love Guru,32235793,Comedy, PG-13
The Mummy: Tomb of the Dragon Emperor,102491776,Adventure, PG-13
The Orphanage,6821123,Horror, R
The Other Boleyn Girl,26814957,Drama, PG-13
The Pineapple Express,87341380,Comedy, R
The Pirates Who Don't Do Anything: A VeggieTales Movie,12981269,Comedy, G
The Reader,3553578,Drama, R
The Rocker,6409528,Comedy, PG-13
The Ruins,17432844,Horror, R
The Savages,4654390,Drama, R
The Secret Life of Bees,37525311,Drama, PG-13
The Sisterhood of the Traveling Pants 2,44089964,Adventure, PG-13
The Spiderwick Chronicles,71195053,Adventure, PG
The Spirit,17743738,Action, PG-13
The Strangers,52597610,Thriller/Suspense, R
The Tale of Despereaux,43661775,Adventure, G
The Visitor,9427026,Comedy, PG-13
The Water Horse: Legend of the Deep,18731137,Drama, PG
The Women,26902075,Comedy, PG-13
The X-Files: I Want to Believe,20982478,Action, PG-13
