Chapter,Data Set,Variable Name,Description,,,,,,,,,,,,
10,Grades,Student,Student ID number,,,,,,,,,,,,
10,Grades,Exam1,Exam1 score: 50 points possible,,,,,,,,,,,,
10,Grades,Exam2,Exam2 score: 50 points possible,,,,,,,,,,,,
10,Grades,Project1,Project 1 score: 10 points possible,,,,,,,,,,,,
10,Grades,Labs,Labs score: 100 points possible,,,,,,,,,,,,
10,Grades,HW,Homework score: 400 points possible,,,,,,,,,,,,
10,Grades,Quiz,Total quiz score: 50 points possible,,,,,,,,,,,,
10,Grades,FinalExam,Final exam score: 100 points possible,,,,,,,,,,,,
10,Grades,FinalProject,Final project score: 50 points possible,,,,,,,,,,,,
10,Intelligence,Person,Person ID,,,,,,,,,,,,
10,Intelligence,Voc1,a measurement of vocabulary,,,,,,,,,,,,
10,Intelligence,Voc2,a measurement of vocabulary,,,,,,,,,,,,
10,Intelligence,Voc3,a measurement of vocabulary,,,,,,,,,,,,
10,Intelligence,Mem1,a measurement of memory,,,,,,,,,,,,
10,Intelligence,Mem2,a measurement of memory,,,,,,,,,,,,
10,Intelligence,Mem3,a measurement of memory,,,,,,,,,,,,
10,Intelligence,SR1,a measurement of spatial reasoning,,,,,,,,,,,,
10,Intelligence,SR2,a measurement of spatial reasoning,,,,,,,,,,,,
10,Intelligence,SR3,a measurement of spatial reasoning,,,,,,,,,,,,
10,Turtles,sex,,,,,,,,,,,,,
10,Turtles,length,length of tutle shell (in MM),,,,,,,,,,,,
10,Turtles,width,width of tutle shell (in MM),,,,,,,,,,,,
10,Turtles,height,height of tutle shell (in MM),,,,,,,,,,,,
10,Versicolor,Sepal length,Sepal length (in cm),,,,,,,,,,,,
10,Versicolor,Sepal width,Sepal width (in cm),,,,,,,,,,,,
10,Versicolor,Petal length,Petal length (in cm),,,,,,,,,,,,
10,Versicolor,Petal width,Petal width (in cm),,,,,,,,,,,,
10,2010Stock,Date,,,,,,,,,,,,,
11,2010Stock,Wal-mart,,,,,,,,,,,,,
12,2010Stock,Target,,,,,,,,,,,,,
13,2010Stock,McDonalds,,,,,,,,,,,,,
14,2010Stock,IBM,,,,,,,,,,,,,
15,2010Stock,Intel,,,,,,,,,,,,,
16,2010Stock,Coca-Cola,,,,,,,,,,,,,
17,2010Stock,"Pepsico, Inc.",,,,,,,,,,,,,
18,2010Stock,Ford Motor Company,,,,,,,,,,,,,
19,2010Stock,Toyota Motor Company,,,,,,,,,,,,,
20,2010Stock,Apple,,,,,,,,,,,,,
21,2010Stock,GE,,,,,,,,,,,,,
22,2010Stock,Casey's General Stores,,,,,,,,,,,,,
23,2010Stock,Amazon.com Inc.,,,,,,,,,,,,,
24,2010Stock,Microsoft,,,,,,,,,,,,,
25,2010Stock,Nike Inc.,,,,,,,,,,,,,
26,2010Stock,"Under Armour, Inc.",,,,,,,,,,,,,
27,2010Stock,Chipotle,,,,,,,,,,,,,
28,2010Stock,Best Buy Inc.,,,,,,,,,,,,,
29,2010Stock,Cheesecake Factory Inc.,,,,,,,,,,,,,
30,2010Stock,Wendy's/Arby's Group,,,,,,,,,,,,,
31,2010Stock,Starbuck's Inc.,,,,,,,,,,,,,
32,2010Stock,Hertz Global Holdings Inc. (Rental Cars),,,,,,,,,,,,,
33,2010Stock,Dollar Thrifty Automotive Group Inc.,,,,,,,,,,,,,
34,2010Stock,Delta Airlines Inc.,,,,,,,,,,,,,
35,2010Stock,Southwest Airlines Co.,,,,,,,,,,,,,
