Person,Voc1,Voc2,Voc3,Mem1,Mem2,Mem3,SR1,SR2,SR3
155,20,33,19,12,26,7,24,19,20
156,18,61.11,15,29,56,19,26,44,23
157,23,34,19,6,35,8,32,19,12
158,21,44,26,10,29,13,31,37,30
159,26,104,41,5,77,22,32,42,25
160,48,48,17,16,48,8,29,19,25
161,32,64,31,30,47,15,32,33,27
162,32,59,75,28,71,22,34,30,31
163,40,74.74,38,21,78.93,15,31,30,26
164,34,69,42,19,58,10,28.75,18,30
165,24,58.89,33,24,38.4,9,32,26,30
166,33,71.58,35,18,53,14,30,39,26
167,30,68.42,25,22,59,12,24,39,21
168,33,52,25,26,75,11,33,31,34
169,83,93,74,32,85,20,33,63,34
170,31,76,19,5,68,17,34,33,22
171,71,87,66,31,59,19,35,65,27
172,41,56,16,5,41,7,29,37,19
173,23,37,16,5,83,22.8,26,22.75,19
174,27,44,24,18,68,21,34,59,31
175,22,60,32,5,64,10,27,39,27
176,60,77,22,23,61,9,30,33,19
177,36,64.21,36,26,55.47,10,26,30.33,26
178,59,72,18,29,65,11,28,18,28
179,20.27,36,15,5,27,10,23,13,23
180,16,78.95,32.73,5,45,7,23,27,27
181,22,30.53,18.55,14,29,7,31,13,10
182,37,55,31,22,58,7,28,32,26
183,27,66,28,15,36,13,29,46,24
184,18,32,20,10,29,8,28,20,22
185,26,57,25,17,56,11,32,50,26
186,39,70,46,26,78,12,31,37,30
187,48,78.95,25,27,62.77,13,33,32,31
188,24,42.22,22,13,52,10,21,26,18
189,24,42,24,6,53,6,26,18,19
190,26,43,35,14,74,11,25,48,27
191,24,76,30,23,81,22,34,27,25
192,34,50,34,24,46.93,13,29,50,28
193,30,35,24,8,68,12,31,37,26
194,38,66,59,26,66,15,29,42,30
195,32,60,38,28,55,9,34,39,20
196,29,64,48,24,78,10,35,52,32
197,60,97,53,29,76,21,33,56,25
198,37,62,30,22,56,10,27,15,18
199,44,70,49,5,95,21,26,37,22
200,37,76,56,30,73,16,35,14,33
201,61,132,63,5,96,25,32,31,22
202,27,47,16,15,40,14,33,35,17
203,26,44,40,14,38,9,26,23,14
204,22,69,12,5,71,7,29,13,23
205,83,82,52,19,59,9,30,31,21
206,46,67,62.18,24,60,11,27,47,34
207,25,40,13,17,44,10,24,13,19
208,58,94,36,27,60,11,17,36,20
209,28,72,45,16,75,8,27,16,15
210,28,80,41,5,64,20,31,40,32
211,16,46,47,31,48,8,33,15,26
212,23,53,32,17,64,11,28,36,26
213,33,76,47,22,77,20,26,46,22
214,37,78,44.73,19,71,16,35,47,35
