Movie,RottenTomatoesScore,ReleaseDate,CreativeType,DistributedBy,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend,IMDB score,AcademyAwardNominations,GoogleHitsOfDirector,Rank
College Road Trip,13,3/7/2008,Contemporary Fiction,Walt Disney,Original Screenplay,NA,45588608,13601419,Comedy,G,83,2706,5026,3.5,0,104000,64
Cruising Bar 2,NA,7/27/2008,Contemporary Fiction,Alliance Atlantis,Sequel,5000000,NA,NA,Comedy,Not Rated,NA,83,2182,5.8,0,165000,204
Death Race,43,8/22/2008,Science Fiction,"Universal – Distributor, Production Company",Remake,45000000,36064910,NA,Action,R,111,NA,NA,6.7,3,123000,84
Deception,12,4/25/2008,Contemporary Fiction,FOX – Distributor,Original Screenplay,25000000,4597760,2312146,Thriller/Suspense,R,107,2001,1155,5.8,1,42200,193
Deep Sea 3-D,91,3/3/2006,Factual,Warner Bros.,Based on Real life Events,NA,42600284,692861,Documentary,G,41,43,16284,7.7,8,109000,206
"Definitely, Maybe",72,2/14/2008,Contemporary Fiction,"Universal – Distributor, Production Company",Original Screenplay,NA,31973840,11472255,Romantic Comedy,PG-13,112,2204,5205,7.4,1,141000,91
Disaster Movie,2,8/29/2008,Contemporary Fiction,Lionsqate,Original Screenplay,25000000,14190901,6945535,Comedy,PG-13,87,2642,2629,1.6,0,130000,134
Dolphins and Whales Tribes of the Ocean 3D,NA,2/15/2008,Factual,3D Entertainment,Based on Real life Events,6000000,7311962,41695,Documentary,Not Rated,42,4,10424,5.9,0,1970000,187
Doomsday,48,3/14/2008,Science Fiction,Universal,Original Screenplay,30000000,10955425,4926565,Action,R,105,1936,2545,6.1,0,216000,151
Doubt,77,12/12/2008,Historical Fiction,Miramax,Based on Play,25000000,33422556,507226,Drama,PG-13,104,15,33815,7.7,21,617000,124
Drillbit Taylor,26,3/21/2008,Contemporary Fiction,Paramount,Original Screenplay,40000000,32853640,10309986,Comedy,PG-13,110,3056,3374,5.9,0,147000,90
Eagle Eye,28,9/28/2008,Contemporary Fiction,Paramount,Original Screenplay,80000000,101111837,29150721,Thriller/Suspense,PG-13,118,3510,8305,6.7,6,539000,24
Elegy,74,8/8/2008,Contemporary Fiction,Samuel Goldwyn Films,Based on Book/Short Story,13000000,3577210,104168,Drama,R,112,6,17361,6.9,8,1900000,203
Enchanted,92,11/21/2007,Fantasy,Buena Vista,Original Screenplay,85000000,127807262,34440317,Romantic Comedy,PG,107,3730,9233,7.5,10,164000,136
Expelled: No Intelligence Allowed,10,4/18/2008,Factual,Rocky Mountain Pictures,Based on Real life Events,3500000,7598071,2970848,Documentary,PG,90,1052,2824,3.7,0,48300,170
Fireproof,40,9/26/2008,Contemporary Fiction,Samuel Goldwyn Films,Original Screenplay,500000,33451479,6804764,Drama,PG,122,839,8111,5.5,0,99000,88
First Sunday,14,1/11/2008,Contemporary Fiction,Sony/Screen Gems,Original Screenplay,NA,37931869,17714821,Comedy,PG-13,96,2213,8005,3.4,0,2950000,81
Flash of Genius,58,10/3/2008,Dramatization,"Universal – Distributor, Production Company",Real life events,20000000,3744790,2251075,Drama,PG-13,119,1098,2050,6.9,1,82400,194
Fly Me To the Moon,17,8/18/2008,Kids Fiction,Summit Entertainment,Original Screenplay,25000000,14532946,1900523,Adventure,G,84,452,4205,4.8,0,51000,143
Fool's Gold,10,2/8/2008,Contemporary Fiction,Warner Bros.,Original Screenplay,70000000,70224196,21589295,Adventure,PG-13,113,3125,6909,5.4,1,183000,45
Forgetting Sarah Marshall,84,4/18/2008,Contemporary Fiction,Universal – Distributor,Original Screenplay,NA,62877175,17725330,Comedy,R,111,2798,6335,7.4,0,93000,50
Four Christmases,25,11/26/2008,Contemporary Fiction,Warner Bros.,Original Screenplay,80000000,120146040,31069826,Comedy,PG-13,88,3310,9387,5.7,18,106000,18
Frost/Nixon,91,1/23/2009,Dramatization,"Universal – Distributor, Production Company",Play,35000000,18593156,180708,Drama,R,122,3,60236,7.9,1,636000,179
Get Smart,53,6/20/2008,Contemporary Fiction,Warner Bros.,Based on TV,80000000,130319208,38683480,Comedy,PG-13,110,3911,9891,6.8,7,498000,17
Ghost Town,85,9/19/2008,Fantasy,Paramount,Original Screenplay,20000000,13214060,5012315,Romantic Comedy,PG-13,102,1505,3330,7,1,324000,139
Gran Torino,80,1/9/2009,Contemporary Fiction,Warner Bros.,Original Screenplay,35000000,148055047,271720,Drama,R,116,6,45287,8.4,2,1850000,157
Hamlet 2,63,8/22/2008,Contemporary Fiction,Focus Features,Original Screenplay,9000000,4881867,11467,Comedy,R,92,103,4271,6.5,3,167000,189
Hancock,40,7/2/2008,Superhero,Columbia Pictures,Original Screenplay,150000000,227946274,62603879,Action,PG-13,92,3965,15789,6.6,4,158000,4
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,71,2/1/2008,Factual,Walt Disney,Real life events,7000000,65281781,31117834,Concert/Performance,G,74,683,45561,2.7,0,60100,47
Happy-Go-Lucky,92,10/10/2008,Contemporary Fiction,Miramax,Original Screenplay,NA,3494485,73867,Comedy,R,118,4,18467,7.1,0,177000,208
Harold & Kumar Escape from Guantanamo Bay,54,4/25/2008,Contemporary Fiction,Warner Bros.,Sequel,12000000,38087366,14908404,Comedy,R,107,2510,5940,6.8,0,42700,79
Hellboy 2: The Golden Army,87,7/11/2008,Superhero,Universal,Sequel,72000000,75754670,34539115,Action,PG-13,120,3204,10780,7.4,2,963000,41
High School Musical 3: Senior Year,67,10/24/2008,Contemporary Fiction,Walt Disney,Sequel,11000000,90559416,42030184,Musical,G,112,3623,11601,3.7,0,2300000,30
His Dark Materials: The Golden Compass,42,12/1/2008,Fantasy,New Line,Based on Book/Short Story,NA,NA,NA,Adventure,PG-13,113,3528,7308,6.3,8,606000,148
Horton Hears a Who,78,3/14/2008,Fantasy,20th Century Fox,Based on Book/Short Story,85000000,154529439,45012998,Adventure,G,86,3954,11384,7.2,0,104000,10
How She Move,67,4/29/2008,Contemporary Fiction,Paramount Vantage,Original Screenplay,NA,7070459,3957471,Drama,PG-13,94,1531,2585,2.5,0,22900,173
I am Legend,69,3/18/2008,Science Fiction,Warner Bros.,Based on Book/Short Story,150000000,256386216,77211321,Horror,PG-13,101,3606,21412,7.1,2,379000,59
Igor,35,9/19/2008,Kids Fiction,MGM,Original Screenplay,25000000,19528602,7803347,Comedy,PG,87,2339,3336,6,0,25900,121
In Bruges,80,2/8/2008,Contemporary Fiction,Focus Features,Original Screenplay,15000000,7757130,457227,Comedy,R,107,28,16330,8.1,2,240000,169
In the Name of the King: A Dungeon Siege Tale,4,1/11/2008,Fantasy,Freestyle Releasing,Based on Game,60000000,4535117,2984524,Action,PG-13,127,1632,1829,3.8,0,307000,190
Indiana Jones and the Kingdom of the Crystal Skull,77,5/22/2008,Historical Fiction,Paramount,Sequel,185000000,317101119,126917373,Adventure,PG-13,122,4260,29793,6.6,9,2220000,3
Iron Man,93,5/2/2008,Superhero,Paramount,Based on Comic Graphic Novel,140000000,318298180,102118668,Action,PG-13,126,4105,24877,8,9,306000,2
Jodhaa Akbar,75,2/14/2008,Dramatization,UTV Communications,Based on Real life Events,NA,3440718,1602356,Drama,Not Rated,213,100,12500,7.4,0,137000,207
Journey to the Center of the Earth,61,7/11/2008,Science Fiction,Warner Bros.,Based on Book/Short Story,45000000,101702060,21018141,Adventure,PG,93,2811,7477,5.9,0,93600,23
Jumper,16,2/14/2008,Science Fiction,"FOX – Distributor, Production Company",Based on Book/Short Story,85000000,80170146,32092991,Adventure,PG-13,88,3428,9362,5.9,3,314000,35
Juno,93,12/5/2008,Contemporary Fiction,Fox Searchlight,Original Screenplay,7500000,143492840,413869,Comedy,PG-13,96,7,59124,7.9,1,2870000,13
Kit Kittredge: An American Girl,79,6/20/2008,Historical Fiction,Picturehouse,Based on Toy,10000000,17655201,220297,Drama,G,101,5,44059,6.7,3,74200,126
Kung Fu Panda,89,6/6/2008,Kids Fiction,"Paramount--Distributer, Prod-- DreamWorks Animation",Original Screenplay,130000000,215434591,60239130,Adventure,PG,92,4114,14642,7.7,10,478000,6
Lakeview Terrace,47,9/19/2008,Contemporary Fiction,Columbia Pictures,Original Screenplay,22000000,39263506,15004672,Thriller/Suspense,PG-13,110,2464,6090,6.3,1,310000,77
Leatherheads,52,4/4/2008,Historical Fiction,Universal – Distributor,Original Screenplay,58000000,31199215,12682595,Romantic Comedy,PG-13,114,2769,4580,6.1,5,3600000,97
Mad Money,23,1/18/2008,Contemporary Fiction,Overture Films,Remake,22000000,20668843,9273645,Comedy,PG-13,104,2470,3755,5.5,5,70400,119
Madagascar: Escape 2 Africa,64,11/7/2008,Kids Fiction,"Paramount--Distributer, Prof DreamWorks Animation",Sequel,150000000,179982968,63106589,Comedy,PG,89,4056,15559,6.9,1,185000,7
Made of Honor,13,5/2/2008,Contemporary Fiction,Columbia Pictures,Original Screenplay,40000000,46012734,14756850,Romantic Comedy,PG-13,101,2729,5407,5.5,0,80500,63
