Movie,RottenTomatoesScore,ReleaseDate,CreativeType,DistributedBy,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend,IMDB score,AcademyAwardNominations,GoogleHitsOfDirector,Rank
Role Models,76,11/7/2008,Contemporary Fiction,"Universal – Distributor, Production Company",Original Screenplay,28000000,67294280,19167085,Comedy,R,99,2792,6865,7.2,0,197000,46
"Run, Fat Boy, Run",48,3/22/2008,Contemporary Fiction,Picturehouse,Original Screenplay,NA,5998971,2340743,Comedy,PG-13,100,1133,2066,6.8,0,242000,181
Saw V,15,10/24/2008,Contemporary Fiction,Lionsqate,Sequel,10800000,56729973,30053954,Horror,R,92,3060,9822,5.8,0,101000,56
Sea Monsters: A Prehistoric Adventure,100,10/5/2007,Factual,National Geographic Entertainment,Based on Real life Events,NA,23038670,605722,Documentary,Not Rated,40,252,2404,7.2,0,8560,133
Semi-Pro,21,2/29/2008,Historical Fiction,New Line,Original Screenplay,NA,33472850,15075114,Comedy,R,91,3121,4830,5.7,2,31800,87
Seven Pounds,27,12/19/2008,Contemporary Fiction,Columbia Pictures,Original Screenplay,55000000,69951824,14851136,Drama,PG-13,123,2758,5385,7.6,3,892000,54
Sex and the City,50,5/30/2008,Contemporary Fiction,Warner Bros.,Based on TV,65000000,152647258,56848056,Comedy,R,145,3285,17305,5.5,2,151000,11
Sex Drive,45,10/17/2008,Contemporary Fiction,Summit Entertainment,Based on Book/Short Story,19000000,8402485,NA,Comedy,R,109,2421,1490,6.8,0,43000,164
Shine a Light,86,4/4/2008,Factual,Paramount,Real life events,NA,5355376,1488081,Documentary,R,122,276,5392,7.3,0,1040000,184
Shutter,7,3/21/2008,Contemporary Fiction,FOX – Distributor,Remake,NA,25926543,10447559,Horror,PG-13,85,2753,3795,4.8,0,44900,108
Slumdog Millionaire,93,11/12/2008,Contemporary Fiction,FOX – Distributor,Original Screenplay,15000000,141319195,360018,Drama,R,120,10,36002,8.4,0,377000,103
Smart People,49,4/11/2008,Contemporary Fiction,Miramax,Original Screenplay,NA,9496882,4092466,Romantic Comedy,R,95,1106,3700,6.4,4,45500,160
Soul Men,45,11/7/2008,Contemporary Fiction,MGM,Original Screenplay,NA,12081447,5401605,Comedy,R,100,2044,2643,6.5,1,96900,145
Space Chimps,37,7/18/2008,Kids Fiction,FOX – Distributor,Original Screenplay,37000000,30105968,7181374,Adventure,G,81,2511,2860,4.5,0,32000,100
Space Station,87,4/19/2002,Factual,IMAX Films,Based on Real life Events,NA,81882005,13744,Documentary,Not Rated,47,NA,NA,7.4,0,120000,153
Speed Racer,37,5/9/2008,Science Fiction,Warner Bros.,Based on Based on TV,120000000,43945766,18561337,Action,PG,135,3606,5147,6.4,5,621000,66
Star Wars: The Clone Wars,19,8/15/2008,Science Fiction,Warner Bros.,Sequel,8500000,35154336,14611273,Adventure,PG,98,3452,4233,5.4,1,119000,86
Step Brothers,55,7/25/2008,Contemporary Fiction,Columbia Pictures,Original Screenplay,65000000,100468793,30940732,Comedy,R,98,3094,10000,6.7,3,612000,25
